kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
daycare marietta,https://chromaela.com/,1,0,1,60,10.7,880,0,5,64,43.23,0,1,5,11,53,9416,60,4,-4,0,FALSE,2025-11-10
free pre k,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,2,4.4,880,0,0,0,43.63,0,2,0,9,0,3881,2,-2,2,0,FALSE,2025-11-20
sensorimotor,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,3,1.5,12100,0,0,0,46.27,0,1,0,1,0,17908,3,-3,1,0,FALSE,2025-10-29
apple school,https://chromaela.com/service-areas-pleasanthill-ga,1,0,20,1,0,0,0,4,4,19.82,0,20,4,0,0,0,1.93,3,16,0,FALSE,2025-11-23
chroma learning,https://chromaela.com/service-areas-marietta-west-ga,30,4,274,1,0,0,9,226,1,30.58,0,270,217,0,0,0,1.84,0,48,-5,FALSE,2025-11-23
premier learning,https://chromaela.com/service-areas-southcobb-ga,1,0,1,2,3,880,0,2,1,37.22,0,1,2,3,6,2640,2,-1,-1,0,FALSE,2025-11-12
toddler parks,,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,-1,0,FALSE,2025-09-28
daycared near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-15
afterschool,https://chromaela.com/service-areas-southcobb-ga,1,0,1,2,0.5,110000,0,0,0,51.38,0,1,0,0,0,52800,2,-2,1,0,FALSE,2025-10-29
children daycare,https://chromaela.com/service-areas-southcobb-ga,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,4,-4,1,0,FALSE,2025-11-17
pre kinder,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-07
phase alpharetta,,0,0,0,0,2.2,50,0,2,96,0,0,0,2,0,4,110,0,96,-2,0,FALSE,2025-10-18
chroma ela,https://chromaela.com/,22,11,187,1,0,10,13,191,1,23.27,0,176,178,0,0,0,1.89,0,-4,-2,FALSE,2025-11-23
preschools,https://chromaela.com/service-areas-johns-creek-ga,2,0,2,2,4.7,301000,0,0,0,71.51,0,2,0,9,0,1417710,1.5,-2,2,0,FALSE,2025-11-22
pre school,,0,0,0,0,4.5,60500,0,4,1,0,0,0,4,0,18,269830,0,1,-4,0,FALSE,2025-10-23
safe daycare,https://chromaela.com/post/signs-of-a-good-daycare,1,0,2,1,0,0,0,0,0,4.58,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-19
roswell chilcare,https://chromaela.com/service-areas-roswell-ga,1,0,4,6,0,0,0,1,11,9.17,0,4,1,0,0,0,8.17,5,3,0,FALSE,2025-11-06
chroma location,https://chromaela.com/locations,1,0,1,1,0,70,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-23
lottery director,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,147,0,210,0,1,56,0,0,1,1,0,0,0,147,-91,0,0,FALSE,2025-10-28
goprogram,https://chromaela.com/service-areas-lilburn-ga,1,0,4,7,2,40500,0,0,0,62.45,0,4,0,8,0,78975,7,-7,4,0,FALSE,2025-11-20
guardería,,0,0,0,0,1.2,165000,0,1,3,0,0,0,1,0,1,193050,0,3,-1,0,FALSE,2025-10-08
early learning,,0,0,0,0,2.5,27100,0,1,6,0,0,0,1,0,2,66666,0,6,-1,0,FALSE,2025-09-29
chroma careers,https://chromaela.com/careers,1,1,57,6,0,210,0,70,8,27.3,0,56,70,0,0,0,7.61,2,-13,1,FALSE,2025-11-23
chroma jobs,https://chromaela.com/careers,1,0,3,30,0,110,0,2,7,7.27,0,3,2,0,0,0,29,-23,1,0,FALSE,2025-11-19
school canton,,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,34,-1,0,FALSE,2025-10-02
jerome preschool,https://chromaela.com/,1,0,1,69,0,10,0,0,0,0,0,1,0,0,0,0,69,-69,1,0,FALSE,2025-11-03
premier school,,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,1,-4,0,FALSE,2025-10-09
daycare clayton,https://chromaela.com/,1,0,1,88,5.3,720,0,0,0,38.95,0,1,0,5,0,3802,88,-88,1,0,FALSE,2025-11-17
daycare infant,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,1,5.1,33100,0,0,0,56.9,0,1,0,5,0,169803,1,-1,1,0,FALSE,2025-11-17
daycare mear me,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,12,-12,1,0,FALSE,2025-11-20
coaching science,,0,0,0,0,1.5,390,0,1,13,0,0,0,1,0,2,589,0,13,-1,0,FALSE,2025-09-29
kindergarten,https://chromaela.com/service-areas-rivergreen-ga,9,0,13,1,3.3,823000,0,12,6,86.99,0,13,12,43,40,2732360,4.67,5,1,0,FALSE,2025-11-23
best preschools,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,18,3.5,1900,0,0,0,46.19,0,2,0,7,0,6669,18,-18,2,0,FALSE,2025-11-17
chroma childcare,https://chromaela.com/,16,0,102,1,0,0,1,106,1,30.59,0,102,105,0,0,0,1.65,0,-4,-1,FALSE,2025-11-23
childcare duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,14,1,4.3,480,0,10,1,53.93,0,14,10,60,43,2045,1,0,4,0,FALSE,2025-11-22
hiring daycares,,0,0,0,0,1.7,2900,1,1,3,0,0,0,0,0,0,4872,0,3,-1,-1,FALSE,2025-10-19
day care center,https://chromaela.com/service-areas-mcdonough-ga,2,0,6,1,6.1,74000,0,6,1,73.33,0,6,6,36,36,447700,1,0,0,0,FALSE,2025-11-19
kids for tech,https://chromaela.com/service-areas-tyrone-ga,1,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,12,-12,1,0,FALSE,2025-10-27
ymca near ne,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,39,2.2,720,0,0,0,34.9,0,1,0,2,0,1613,39,-39,1,0,FALSE,2025-11-15
chromaela,https://chromaela.com/post/bringing-learning-to-life-through-interaction,43,11,300,1,0,10,3,42,1,26.4,0,289,39,0,0,0,2.46,0,258,8,FALSE,2025-11-23
cobb academy,,0,0,0,0,0,320,0,2,7,0,0,0,2,0,0,0,0,7,-2,0,FALSE,2025-10-25
river green,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,1,0.7,3600,0,1,1,36.73,0,1,1,1,1,2376,1,0,0,0,FALSE,2025-10-31
kindergaren,,0,0,0,0,4,823000,0,1,4,0,0,0,1,0,4,3275540,0,4,-1,0,FALSE,2025-10-21
green academy,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,2,0.4,8100,0,1,2,38.31,0,1,1,0,0,3321,2,0,0,0,FALSE,2025-10-28
walk leap grow,,0,0,0,0,0,70,0,1,48,0,0,0,1,0,0,0,0,48,-1,0,FALSE,2025-10-06
daycare room,https://www.chromaela.com/service-areas-lawrenceville-ga,1,0,1,13,1,1900,0,0,0,35.53,0,1,0,1,0,1843,13,-13,1,0,FALSE,2025-10-30
cobb nursery,,0,0,0,0,0,110,0,1,55,0,0,0,1,0,0,0,0,55,-1,0,FALSE,2025-10-07
apple of the day,,0,0,0,0,0,20,0,1,13,0,0,0,1,0,0,0,0,13,-1,0,FALSE,2025-09-26
day program,,0,0,0,0,2.6,4400,0,1,3,0,0,0,1,0,3,11484,0,3,-1,0,FALSE,2025-10-10
chroma cda,https://chromaela.com/service-areas-satellite-ga,1,0,1,10,0,110,0,0,0,0,0,1,0,0,0,0,10,-10,1,0,FALSE,2025-11-08
pre-k lilburn ga,https://www.chromaela.com/service-areas-lilburn-ga,4,0,6,17,0,0,0,14,22,0,0,6,14,0,0,0,23.25,5,-8,0,FALSE,2025-11-10
early academy,,0,0,0,0,4.5,260,0,3,9,0,0,0,3,0,14,1180,0,9,-3,0,FALSE,2025-10-03
duluth daycare,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,9,5.1,720,0,0,0,38.75,0,1,0,5,0,3643,9,-9,1,0,FALSE,2025-11-10
quilla academy,https://chromaela.com/,1,0,1,50,0,210,0,2,42,0,0,1,2,0,0,0,50,-8,-1,0,FALSE,2025-11-13
daycare roswell,https://chromaela.com/service-areas-roswell-ga,2,0,7,22,0,0,1,4,6,12.87,0,7,3,0,0,0,21.58,-16,3,-1,FALSE,2025-11-22
aurora daycare,,0,0,0,0,5.5,880,0,1,4,0,0,0,1,0,6,4840,0,4,-1,0,FALSE,2025-09-26
apple direccion,,0,0,0,0,0,110,0,1,7,0,0,0,1,0,0,0,0,7,-1,0,FALSE,2025-10-15
roswell daycare,https://chromaela.com/careers,5,0,14,20,7.7,170,0,2,13,51.34,0,14,2,107,15,1302,13.94,-7,12,0,FALSE,2025-11-12
daycare blog,,0,0,0,0,0,70,0,1,88,0,0,0,1,0,0,0,0,88,-1,0,FALSE,2025-10-23
chroma nails,https://chromaela.com/service-areas-lilburn-ga,1,0,1,1,0.8,1900,0,0,0,34.31,0,1,0,1,0,1425,1,-1,1,0,FALSE,2025-11-18
daycare canton,https://chromaela.com/service-areas-cherokee-ga,2,0,16,1,5.6,110,0,32,1,49.83,0,16,32,90,180,617,3.65,0,-16,0,FALSE,2025-11-22
daycare by me,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,47,6.4,480,0,0,0,37.94,0,1,0,6,0,3072,47,-47,1,0,FALSE,2025-11-11
jewish daycare,https://chromaela.com/tour-appointment,1,0,1,2,6.5,880,0,0,0,40.89,0,1,0,7,0,5729,2,-2,1,0,FALSE,2025-11-21
little creations,https://chromaela.com/service-areas-jonesboro-ga,1,0,15,1,0.8,1600,0,18,1,51.83,0,15,18,12,15,1312,1,0,-3,0,FALSE,2025-11-17
prekinders,,0,0,0,0,1.6,1300,0,1,2,0,0,0,1,0,2,2145,0,2,-1,0,FALSE,2025-10-21
daycare 30097,https://chromaela.com/service-areas-pleasanthill-ga,1,0,5,1,0,20,0,6,1,10.65,0,5,6,0,0,0,1,0,-1,0,FALSE,2025-11-23
lilburn ga parks,,0,0,0,0,0,0,0,2,21,0,0,0,2,0,0,0,0,21,-2,0,FALSE,2025-10-23
chroma school,https://chromaela.com/,29,2,106,1,0,0,2,61,1,27.57,0,104,59,0,0,0,2.12,0,45,0,FALSE,2025-11-23
georgia pre k,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,7,7.2,1300,0,4,3,43.22,0,1,4,7,29,9386,7,-4,-3,0,FALSE,2025-10-30
daycares.near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,19,0,0,0,0,0,0,0,1,0,0,0,0,19,-19,1,0,FALSE,2025-11-18
gwinnett pre k,https://chromaela.com/service-areas-lawrenceville-ga,1,0,1,55,7.3,140,0,0,0,32.75,0,1,0,7,0,1023,55,-55,1,0,FALSE,2025-11-07
nanny vs daycare,,0,0,0,0,10.1,1600,0,3,66,0,0,0,3,0,30,16080,0,66,-3,0,FALSE,2025-10-23
prek near me,https://chromaela.com/service-areas-satellite-ga,6,0,16,1,7.5,33100,0,0,0,77.05,0,16,0,120,0,249243,3.5,-1,16,0,FALSE,2025-11-20
cosmo child care,https://chromaela.com/services-infant-care,5,0,5,9,0,0,0,0,0,10.65,0,5,0,0,0,0,9,-9,5,0,FALSE,2025-11-05
croma school,,0,0,0,0,0,0,0,9,2,0,0,0,9,0,0,0,0,2,-9,0,FALSE,2025-10-18
chroma west,https://chromaela.com/service-areas-marietta-west-ga,13,0,118,4,0,140,0,34,2,31.99,0,118,34,0,0,0,5.41,-2,84,0,FALSE,2025-11-23
daycare lilburn,https://chromaela.com/lilburn,3,0,6,15,8,140,0,7,15,45.03,0,6,7,48,56,1120,19.17,0,-1,0,FALSE,2025-11-14
daycare or nanny,,0,0,0,0,4.9,1900,0,1,49,0,0,0,1,0,5,9348,0,49,-1,0,FALSE,2025-10-22
sensory stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,68,0,0,0,0,0,0,0,1,0,0,0,0,68,-68,1,0,FALSE,2025-11-23
daycare 30022,,0,0,0,0,0,10,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-10-22
west cobb prep,https://chromaela.com/service-areas-marietta-west-ga,1,0,3,75,0,260,0,0,0,7.27,0,3,0,0,0,0,65,-75,3,0,FALSE,2025-11-23
preschool canton,https://chromaela.com/service-areas-rivergreen-ga,3,0,63,1,9.4,320,0,55,1,66.05,0,63,55,594,519,3018,9.46,0,8,0,FALSE,2025-11-22
daycare 6am,,0,0,0,0,4.5,70,0,1,38,0,0,0,1,0,5,317,0,38,-1,0,FALSE,2025-10-15
daycares near.me,,0,0,0,0,0,0,0,2,22,0,0,0,2,0,0,0,0,22,-2,0,FALSE,2025-10-07
chromeacademy,https://chromaela.com/,1,0,4,9,1.6,480,0,0,0,40.5,0,4,0,6,0,758,8.75,-9,4,0,FALSE,2025-11-15
rivers learning,,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,11,-1,0,FALSE,2025-10-05
4k near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,12,1,140,0,2,2,23.35,0,1,2,1,2,140,12,-10,-1,0,FALSE,2025-11-07
green daycare,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,11,3.4,170,0,0,0,30.02,0,1,0,3,0,575,11,-11,1,0,FALSE,2025-10-30
little chroma,https://chromaela.com/programs,1,0,1,42,0,40,0,0,0,0,0,1,0,0,0,0,42,-42,1,0,FALSE,2025-11-06
early education,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,2,8.7,3600,0,0,0,48.91,0,1,0,9,0,31284,2,-2,1,0,FALSE,2025-10-29
clayton day care,https://chromaela.com/service-areas-cherokee-ga,1,0,1,1,5.6,720,0,0,0,39.23,0,1,0,6,0,4039,1,-1,1,0,FALSE,2025-11-14
k academy school,,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-10-23
ramona daycare,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,1,4.4,40,0,1,70,24.41,0,1,1,4,4,175,1,69,0,0,FALSE,2025-11-13
park for babies,,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,9,-1,0,FALSE,2025-09-26
pre-k duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-01
chromacampus,https://chromaela.com/,1,0,1,32,0,0,0,0,0,0,0,1,0,0,0,0,32,-32,1,0,FALSE,2025-11-19
kids tech,https://chromaela.com/service-areas-tyrone-ga,1,0,58,8,0,0,2,243,1,27.08,0,58,241,0,0,0,4.69,-7,-185,-2,FALSE,2025-11-23
growing room,,0,0,0,0,2,2400,0,3,12,0,0,0,3,0,6,4704,0,12,-3,0,FALSE,2025-10-02
green childcare,https://chromaela.com/service-areas-rivergreen-ga,1,0,4,95,0,40,0,0,0,9.17,0,4,0,0,0,0,61.25,-95,4,0,FALSE,2025-11-13
chroma care,https://chromaela.com/,1,0,17,4,0.3,90,1,2,1,35.04,0,17,1,6,0,31,3.23,-3,15,-1,FALSE,2025-11-23
baby playground,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-13
baby park,https://chromaela.com/post/top-5-infant-friendly-parks-in-johns-creek-for-your-babys-first-outings,3,0,9,16,0,0,0,2,9,14.53,0,9,2,0,0,0,9.36,-7,7,0,FALSE,2025-11-22
georgia prek,https://chromaela.com/service-areas-cherokee-ga,2,0,4,6,7.9,1600,0,2,4,53.78,0,4,2,32,16,12608,6.5,-2,2,0,FALSE,2025-11-18
ela daycare,https://chromaela.com/,10,0,15,11,2.9,30,0,20,7,39.05,0,15,20,44,58,88,7.8,-4,-5,0,FALSE,2025-11-19
ga lottery pre k,https://chromaela.com/services-pre-k-lottery,1,0,2,84,5.6,720,0,1,53,43.83,0,2,1,11,6,4046,83.5,-31,1,0,FALSE,2025-11-09
ela atlanta,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,9,4.7,2900,0,0,0,44.96,0,1,0,5,0,13572,9,-9,1,0,FALSE,2025-10-28
canton schools,https://chromaela.com/service-areas-cherokee-ga,2,0,2,18,12.7,1300,0,0,0,50.47,0,2,0,25,0,16523,23,-18,2,0,FALSE,2025-10-28
school near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,70,2.7,1830000,0,2,39,72.81,0,1,2,3,5,4922700,70,-31,-1,0,FALSE,2025-11-09
ga daycare,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,5,-5,1,0,FALSE,2025-10-27
east cobb park,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,1,8,0,5400,0,3,2,0,0,1,3,0,0,0,8,-6,-2,0,FALSE,2025-11-18
infant care,https://chromaela.com/service-areas-mcdonough-ga,2,0,7,1,0,0,0,4,1,12.87,0,7,4,0,0,0,1,0,3,0,FALSE,2025-11-19
childcare,https://chromaela.com/service-areas-pleasanthill-ga,4,0,7,1,3.6,165000,0,4,1,75.63,0,7,4,25,14,587400,3.25,0,3,0,FALSE,2025-11-15
east cobb parks,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,3,28,0,5400,0,0,0,7.27,0,3,0,0,0,0,21.33,-28,3,0,FALSE,2025-11-23
lessons near me,,0,0,0,0,2.4,390,1,1,13,0,0,0,0,0,0,924,0,13,-1,-1,FALSE,2025-10-11
ga pre k lottery,https://chromaela.com/services-pre-k-lottery,1,0,3,35,0,0,0,4,12,7.27,0,3,4,0,0,0,32.67,-23,-1,0,FALSE,2025-11-09
daycare dacula,,0,0,0,0,7.5,40,0,1,99,0,0,0,1,0,8,302,0,99,-1,0,FALSE,2025-10-14
learning academy,https://chromaela.com/service-areas-mcdonough-ga,2,0,4,7,3.2,8100,0,2,7,57.13,0,4,2,13,6,25596,10,0,2,0,FALSE,2025-11-13
apple preschool,https://chromaela.com/service-areas-pleasanthill-ga,1,0,15,1,4.9,590,0,1,14,55.54,0,15,1,73,5,2873,1.13,13,14,0,FALSE,2025-11-23
evie roswell,https://chromaela.com/service-areas-roswell-ga,1,0,1,58,0,0,0,0,0,0,0,1,0,0,0,0,58,-58,1,0,FALSE,2025-11-10
ela academy,https://chromaela.com/,1,0,2,59,5,720,0,1,4,45.99,0,2,1,10,5,3629,54,-55,1,0,FALSE,2025-11-15
pre k lottery,,0,0,0,0,5.5,320,0,6,1,35.34,0,0,6,0,33,1773,0,1,-6,0,FALSE,2025-10-26
daycare rome ga,https://chromaela.com/,2,0,7,60,4.7,590,0,3,51,51.18,0,7,3,33,14,2755,64.2,-9,4,0,FALSE,2025-11-18
prek3 near me,https://chromaela.com/service-areas-marietta-west-ga,2,0,3,5,10.1,720,0,0,0,49.26,0,3,0,30,0,7236,17,-5,3,0,FALSE,2025-11-07
pre k canton ga,,0,0,0,0,9.8,30,0,3,28,0,0,0,3,0,30,295,0,28,-3,0,FALSE,2025-10-18
park for baby,,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-10-01
uga daycare,https://chromaela.com/,1,0,2,26,16.1,90,0,0,0,38.99,0,2,0,32,0,1453,25,-26,2,0,FALSE,2025-11-23
tech kids school,https://chromaela.com/service-areas-tyrone-ga,1,0,4,10,0,0,0,0,0,9.17,0,4,0,0,0,0,9.75,-10,4,0,FALSE,2025-11-11
piaget 6 stages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,73,0,0,0,0,0,0,0,1,0,0,0,0,73,-73,1,0,FALSE,2025-11-23
procare daycare,,0,0,0,0,8.4,1900,0,1,4,0,0,0,1,0,8,15884,0,4,-1,0,FALSE,2025-09-30
infant park,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,4,10,0,260,0,1,5,9.17,0,4,1,0,0,0,11.75,-5,3,0,FALSE,2025-11-19
preschool 30047,https://chromaela.com/lilburn,3,0,5,24,0,0,0,10,21,10.65,0,5,10,0,0,0,24.5,-3,-5,0,FALSE,2025-11-17
jump-start,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-09-30
mableton daycare,,0,0,0,0,6.3,170,0,1,35,0,0,0,1,0,6,1074,0,35,-1,0,FALSE,2025-09-30
apple day school,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,4,0,0,0,1,14,0,0,1,1,0,0,0,4,10,0,0,FALSE,2025-10-28
chroma hours,,0,0,0,0,0,50,0,7,79,0,0,0,7,0,0,0,0,79,-7,0,FALSE,2025-10-14
day care near me,https://chromaela.com/lilburn,12,2,33,18,0,0,3,25,2,18.14,0,31,22,0,0,0,8.49,-16,8,-1,FALSE,2025-11-21
pre k 2 near me,https://chromaela.com/service-areas-rivergreen-ga,2,0,2,1,7.4,590,0,0,0,44.17,0,2,0,15,0,4354,5,-1,2,0,FALSE,2025-11-10
cram and tots,,0,0,0,0,0,10,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-17
daycare center,https://chromaela.com/service-areas-pleasanthill-ga,3,0,36,2,5.8,33100,0,38,1,81.57,0,36,38,210,222,193304,1.76,-1,-2,0,FALSE,2025-11-23
an apple a day,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,5,0.1,14800,0,15,4,39.94,0,1,15,0,2,1776,5,-1,-14,0,FALSE,2025-10-31
chroma training,,0,0,0,0,0,10,0,1,15,0,0,0,1,0,0,0,0,15,-1,0,FALSE,2025-10-12
clearly kids,https://chromaela.com/about-us,8,0,8,11,0,0,0,18,10,13.75,0,8,18,0,0,0,11,-1,-10,0,FALSE,2025-11-06
sensorimotor age,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,56,0,140,0,0,0,4.58,0,2,0,0,0,0,55.5,-56,2,0,FALSE,2025-11-19
parenting advice,https://chromaela.com/post/the-words-you-use-and-the-behavior-you-give-your-child-matters,1,0,1,1,1.4,14800,0,0,0,46.96,0,1,0,1,0,20720,1,-1,1,0,FALSE,2025-11-12
tyrone schools,,0,0,0,0,0,140,0,1,2,0,0,0,1,0,0,0,0,2,-1,0,FALSE,2025-09-28
chrome daycare,https://chromaela.com/service-areas-marietta-west-ga,16,0,56,1,0,0,0,0,0,26.63,0,56,0,0,0,0,3.32,-1,56,0,FALSE,2025-11-20
m dot daycare,https://chromaela.com/services-toddler-care,1,0,1,1,4,70,0,0,0,26.67,0,1,0,4,0,283,1,-1,1,0,FALSE,2025-11-21
kids teach tech,,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,-1,0,FALSE,2025-10-16
pre k in georgia,,0,0,0,0,7.9,1600,0,1,13,0,0,0,1,0,8,12608,0,13,-1,0,FALSE,2025-10-08
jw learning,,0,0,0,0,0,30,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-10-24
types of daycare,https://chromaela.com/post/types-of-daycare-centers-which-is-right-for-your-family,1,0,3,90,4.2,210,0,0,0,39.3,0,3,0,13,0,880,92.25,-90,3,0,FALSE,2025-11-23
daycare hiram ga,https://chromaela.com/,1,0,1,67,6.9,140,0,0,0,32.48,0,1,0,7,0,967,67,-67,1,0,FALSE,2025-11-01
apple academy,https://chromaela.com/service-areas-pleasanthill-ga,1,0,15,1,1.8,9900,0,3,1,64.08,0,15,3,27,5,17523,1.15,0,12,0,FALSE,2025-11-23
canton daycare,https://chromaela.com/service-areas-rivergreen-ga,2,0,5,11,6.1,320,0,1,1,46.41,0,5,1,30,6,1936,6.33,-10,4,0,FALSE,2025-11-12
chroma career,,0,0,0,0,0,170,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-10-16
preschool duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,15,1,0,0,0,1,1,17.91,0,15,1,0,0,0,1.56,0,14,0,FALSE,2025-11-22
premier academy,https://chromaela.com/service-areas-southcobb-ga,1,0,8,6,4.2,9900,1,30,4,64.06,0,8,29,34,123,42075,3.8,-2,-22,-1,FALSE,2025-11-14
pleasantville ga,,0,0,0,0,0,50,0,1,82,0,0,0,1,0,0,0,0,82,-1,0,FALSE,2025-10-15
baby parks,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,1,69,0,0,0,0,0,0,0,1,0,0,0,0,69,-69,1,0,FALSE,2025-11-20
jumpstart,https://chromaela.com/service-areas-marietta-west-ga,1,0,3,1,1.1,246000,0,1,2,66.28,0,3,1,3,1,265680,1,1,2,0,FALSE,2025-11-19
jump start,,0,0,0,0,1.1,246000,0,3,11,0,0,0,3,0,3,265680,0,11,-3,0,FALSE,2025-10-03
chroma academy,https://chromaela.com/,41,13,345,1,0,70,4,195,1,26.53,0,332,191,0,0,0,2.83,0,150,9,FALSE,2025-11-23
monisori school,https://chromaela.com/tour-appointment,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-21
prek around me,,0,0,0,0,6.6,170,0,3,2,0,0,0,3,0,20,1124,0,2,-3,0,FALSE,2025-10-22
midway campus,,0,0,0,0,0,1600,0,1,51,0,0,0,1,0,0,0,0,51,-1,0,FALSE,2025-10-22
best prek,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,11,8.8,110,0,0,0,32.46,0,1,0,9,0,964,11,-11,1,0,FALSE,2025-11-06
solve question,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,2,0.1,12100,0,0,0,34.4,0,1,0,0,0,1452,2,-2,1,0,FALSE,2025-11-17
apple learning,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,7,3.6,1600,0,2,5,40.88,0,1,2,4,7,5728,7,-2,-1,0,FALSE,2025-10-28
day care near,,0,0,0,0,4.7,8100,0,1,11,0,0,0,1,0,5,37746,0,11,-1,0,FALSE,2025-10-22
daycares near,,0,0,0,0,4.3,8100,0,2,7,0,0,0,2,0,9,35073,0,7,-2,0,FALSE,2025-10-14
kidz academy,,0,0,0,0,4.4,2900,0,1,1,0,0,0,1,0,4,12702,0,1,-1,0,FALSE,2025-10-08
pre k near me,https://chromaela.com/service-areas-marietta-west-ga,12,0,32,11,7.5,33100,1,13,6,81.64,0,32,12,241,90,249243,10.2,-5,19,-1,FALSE,2025-11-21
academy for kids,https://chromaela.com/service-areas-tyrone-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-10
chroma roswell,https://chromaela.com/,10,0,45,1,0,0,3,67,1,25.61,0,45,64,0,0,0,2.41,0,-22,-3,FALSE,2025-11-23
kramer preschool,,0,0,0,0,0,40,0,2,8,0,0,0,2,0,0,0,0,8,-2,0,FALSE,2025-10-10
the calm academy,https://chromaela.com/,1,0,1,65,0,110,0,0,0,0,0,1,0,0,0,0,65,-65,1,0,FALSE,2025-11-06
toddler throws,https://chromaela.com/post/95a25d6a-fc73-47b6-8d41-92a5dec18211-the-psychology-behind-toy-throwing-understanding-your-childs-behavior,1,0,1,91,0,0,0,0,0,0,0,1,0,0,0,0,91,-91,1,0,FALSE,2025-11-23
